# U2 (mm), RF2 (N)
0.000000000000000000e+00, -0.000000000000000000e+00
-6.249999860301613808e-04, -1.796642504632472992e-02
-1.249999972060322762e-03, -3.899382799863815308e-02
-1.484374981373548508e-03, -5.533164367079734802e-02
-1.835937495343387127e-03, -8.224976062774658203e-02
-2.363281324505805969e-03, -1.100034564733505249e-01
-3.154296893626451492e-03, -1.567497253417968750e-01
-4.340820480138063431e-03, -2.521131634712219238e-01
-6.120605394244194031e-03, -4.008119702339172363e-01
-8.790283463895320892e-03, -6.400505304336547852e-01
-1.279480010271072388e-02, -1.062194824218750000e+00
-1.429649349302053452e-02, -1.254154086112976074e+00
-1.654903404414653778e-02, -1.493717074394226074e+00
-1.880157552659511566e-02, -1.819702863693237305e+00
-2.105411514639854431e-02, -2.096626043319702148e+00
-2.443292550742626190e-02, -2.572088479995727539e+00
-2.950114198029041290e-02, -3.261892318725585938e+00
-3.710346668958663940e-02, -4.407789230346679688e+00
-3.900404646992683411e-02, -4.763731002807617188e+00
-4.090462997555732727e-02, -5.082640171051025391e+00
-4.375550150871276855e-02, -5.531197071075439453e+00
-4.803180694580078125e-02, -6.243033885955810547e+00
-5.444626882672309875e-02, -7.335566043853759766e+00
-6.406795978546142578e-02, -9.107773780822753906e+00
-7.368965446949005127e-02, -1.105822086334228516e+01
-8.331134915351867676e-02, -1.316324424743652344e+01
-9.331134706735610962e-02, -1.553072071075439453e+01
-1.000000014901161194e-01, -1.722245407104492188e+01
-9.749999642372131348e-02, -1.460929203033447266e+01
-9.499999880790710449e-02, -1.207076930999755859e+01
-9.125000238418579102e-02, -8.534492492675781250e+00
-8.562500029802322388e-02, -3.801131010055541992e+00
-8.351562172174453735e-02, -2.283965349197387695e+00
-8.035156130790710449e-02, -4.215206205844879150e-01
-7.560546696186065674e-02, -0.000000000000000000e+00
-6.848632544279098511e-02, -0.000000000000000000e+00
-5.848632752895355225e-02, -0.000000000000000000e+00
-4.848632961511611938e-02, -0.000000000000000000e+00
-3.848632797598838806e-02, -0.000000000000000000e+00
-2.848632819950580597e-02, -0.000000000000000000e+00
-1.848632842302322388e-02, -0.000000000000000000e+00
-8.486327715218067169e-03, -0.000000000000000000e+00
0.000000000000000000e+00, -0.000000000000000000e+00
